MBUN,IT0025480945,20260908,DE000BU2Z056,2.6,20350815,0.770088
MBUN,IT0026145794,20261208,DE000BU2Z056,2.6,20350815,0.774902
MBUN,IT0025480945,20260908,DE000BU2Z064,2.9,20360215,0.781249
MBUN,IT0026145794,20261208,DE000BU2Z064,2.9,20360215,0.785735
MBUN,IT0026842556,20270308,DE000BU2Z064,2.9,20360215,0.790223
MBON,IT0025480911,20260908,ES0000012O67,3.15,20350430,0.811973
MBON,IT0025480911,20260908,ES0000012P33,3.2,20351031,0.8072
MBON,IT0026145760,20261208,ES0000012P33,3.2,20351031,0.811232
MBON,IT0026842523,20270308,ES0000012P33,3.2,20351031,0.815132
MBON,IT0025480911,20260908,ES0000012Q08,3.3,20360430,0.806448
MBON,IT0026145760,20261208,ES0000012Q08,3.3,20360430,0.810197
MBON,IT0026842523,20270308,ES0000012Q08,3.3,20360430,0.814078
MBON,IT0025480911,20260908,ES0000012S22,3.4,20361031,0.806718
MBON,IT0026145760,20261208,ES0000012S22,3.4,20361031,0.810092
MBON,IT0026842523,20270308,ES0000012S22,3.4,20361031,0.813485
MOAT,IT0025480952,20260908,FR001400X8V5,3.2,20350525,0.814163
MOAT,IT0025480952,20260908,FR0014012II5,3.5,20351125,0.826814
MOAT,IT0026145802,20261208,FR0014012II5,3.5,20351125,0.830509
MOAT,IT0026842564,20270308,FR0014012II5,3.5,20351125,0.833918
MOAT,IT0026842564,20270308,FR0014017Z10,3.8,20370625,0.83438
MOAT,IT0026145802,20261208,FR0014018YR0,3.7,20361125,0.831189
MOAT,IT0026842564,20270308,FR0014018YR0,3.7,20361125,0.834116
MBTP,IT0025480929,20260908,IT0005402117,1.45,20360301,0.679587
MBTP,IT0026145778,20261208,IT0005402117,1.45,20360301,0.685975
MBTP,IT0026842531,20270308,IT0005402117,1.45,20360301,0.692418
MBTX,IT0025480937,20260908,IT0005425233,1.7,20510901,0.643515
MBTX,IT0026145786,20261208,IT0005425233,1.7,20510901,0.645622
MBTX,IT0026842549,20270308,IT0005425233,1.7,20510901,0.647756
MBTP,IT0025480929,20260908,IT0005433195,0.95,20370301,0.616457
MBTP,IT0026145778,20261208,IT0005433195,0.95,20370301,0.623169
MBTP,IT0026842531,20270308,IT0005433195,0.95,20370301,0.62992
MBTX,IT0025480937,20260908,IT0005480980,2.15,20520901,0.707823
MBTX,IT0026145786,20261208,IT0005480980,2.15,20520901,0.709437
MBTX,IT0026842549,20270308,IT0005480980,2.15,20520901,0.711088
MBTP,IT0026842531,20270308,IT0005496770,3.25,20380301,0.787209
MBTX,IT0025480937,20260908,IT0005534141,4.5,20531001,1.088968
MBTX,IT0026145786,20261208,IT0005534141,4.5,20531001,1.088474
MBTX,IT0026842549,20270308,IT0005534141,4.5,20531001,1.088039
MBTX,IT0025480937,20260908,IT0005611741,4.3,20541001,1.057088
MBTX,IT0026145786,20261208,IT0005611741,4.3,20541001,1.056779
MBTX,IT0026842549,20270308,IT0005611741,4.3,20541001,1.056526
MBTP,IT0025480929,20260908,IT0005631590,3.65,20350801,0.845212
MBTP,IT0026145778,20261208,IT0005631590,3.65,20350801,0.848511
MBTP,IT0025480929,20260908,IT0005648149,3.6,20351001,0.839556
MBTP,IT0026145778,20261208,IT0005648149,3.6,20351001,0.842901
MBTP,IT0026842531,20270308,IT0005648149,3.6,20351001,0.846333
MBTX,IT0025480937,20260908,IT0005668238,4.65,20551001,1.118275
MBTX,IT0026145786,20261208,IT0005668238,4.65,20551001,1.117696
MBTX,IT0026842549,20270308,IT0005668238,4.65,20551001,1.117177
MBTP,IT0025480929,20260908,IT0005676504,3.45,20360201,0.824415
MBTP,IT0026145778,20261208,IT0005676504,3.45,20360201,0.827903
MBTP,IT0026842531,20270308,IT0005676504,3.45,20360201,0.831446
MBTP,IT0025480929,20260908,IT0005706285,3.8,20360701,0.844354
MBTP,IT0026145778,20261208,IT0005706285,3.8,20360701,0.847318
MBTP,IT0026842531,20270308,IT0005706285,3.8,20360701,0.850266
